currency	price	address	location	web	area	ambs	price_area_ratio
USD	95000	Aguirre 1100	Villa Crespo, Capital Federal	https://www.argenprop.com.ar/ph-en-venta-en-villa-crespo-3-ambientes--12553385	65	3	1461
USD	95000	ROSETI al 400	Chacarita, Capital Federal	https://www.argenprop.com.ar/ph-en-venta-en-chacarita-3-ambientes--9707288	60	3	1583
USD	95000	Roseti 400, Piso PB	Chacarita, Capital Federal	https://www.argenprop.com.ar/ph-en-venta-en-chacarita-3-ambientes--8271166	3	0	31666
USD	93000	Cucha Cucha 2600	Villa Crespo, Capital Federal	https://www.argenprop.com.ar/ph-en-venta-en-villa-crespo-4-ambientes--12103135	100	4	930
USD	89900	ESCALADA DE SAN MARTIN, R. 300, Piso PB	Villa Crespo, Capital Federal	https://www.argenprop.com.ar/ph-en-venta-en-villa-crespo-3-ambientes--12052697	56	3	1605
USD	87000	SERRANO AL 300	Villa Crespo, Capital Federal	https://www.argenprop.com.ar/ph-en-venta-en-villa-crespo-3-ambientes--11625810	3	0	29000
USD	87000	THAMES 100	Villa Crespo, Capital Federal	https://www.argenprop.com.ar/ph-en-venta-en-villa-crespo-5-ambientes--12066147	90	5	966
USD	85000	SERRANO AL 300	Villa Crespo, Capital Federal	https://www.argenprop.com.ar/ph-en-venta-en-villa-crespo-3-ambientes--11625817	3	0	28333
USD	84900	Vera 1300	Villa Crespo, Capital Federal	https://www.argenprop.com.ar/ph-en-venta-en-villa-crespo-4-ambientes--8127819	80	4	1061
USD	82900	Av San	Villa Crespo, Capital Federal	https://www.argenprop.com.ar/ph-en-venta-en-villa-crespo-3-ambientes--12509880	62	3	1337
USD	82000	Humboldt y Martinez Rosas -  PH 4 amb con terraza propia y posibilidad de construir	Villa Crespo, Capital Federal	https://www.argenprop.com.ar/ph-en-venta-en-villa-crespo-4-ambientes--12002534	58	4	1413
USD	82000	Humboldt y Martinez Rosas -  PH  3 amb + escriot con terraza propia	Villa Crespo, Capital Federal	https://www.argenprop.com.ar/ph-en-venta-en-villa-crespo-3-ambientes--12154652	58	3	1413
USD	79500	DARWIN 300, Piso 1	Villa Crespo, Capital Federal	https://www.argenprop.com.ar/ph-en-venta-en-villa-crespo-3-ambientes--11874493	52	3	1528
USD	79000	Av Alvarez Thomas 900, Piso PB	Colegiales, Capital Federal	https://www.argenprop.com.ar/ph-en-venta-en-colegiales-3-ambientes--5051523	56	3	1410
USD	79000	Rojas 1300	Villa Crespo, Capital Federal	https://www.argenprop.com.ar/ph-en-venta-en-villa-crespo-3-ambientes--11614253	54	3	1462
USD	79000	14 DE JULIO 1200	Villa Ortuzar, Capital Federal	https://www.argenprop.com.ar/ph-en-venta-en-villa-ortuzar-3-ambientes--11738801	45	3	1755
USD	79000	Aguirre 100, Piso 3	Villa Crespo, Capital Federal	https://www.argenprop.com.ar/ph-en-venta-en-villa-crespo-3-ambientes--10918377	47	3	1680
USD	75000	14 De Julio 1200	Villa Ortuzar, Capital Federal	https://www.argenprop.com.ar/ph-en-venta-en-villa-ortuzar-3-ambientes--11522221	45	3	1666
	0	Cnel M Roseti 400	Colegiales, Capital Federal	https://www.argenprop.com.ar/ph-en-venta-en-colegiales-4-ambientes--4960290	190	4	0
