currency	price	address	location	web	area	ambs	price_area_ratio
USD	95000		Villa Crespo, Capital Federal	https://www.zonaprop.com.ar/propiedades/ph-patio-baulera-en-depto-impecable-aguirre-al-1100-51143714.html	65	3	1461
USD	94999		Chacarita, Capital Federal	https://www.zonaprop.com.ar/propiedades/venta-ph-chacarita-colegiales-3-amb-50748056.html	77	3	1233
USD	93000		Villa Crespo, Capital Federal	https://www.zonaprop.com.ar/propiedades/venta-ph-3-amb-exc-ubic-p.-centenario-a-m-del-parque-47552574.html	75	3	1240
USD	90000		Villa Crespo, Capital Federal	https://www.zonaprop.com.ar/propiedades/departamento-venta-1-dormitorio-1-bano-1-balcon-y-51196438.html	65	3	1384
USD	89900		Villa Crespo, Capital Federal	https://www.zonaprop.com.ar/propiedades/oportunidad-excelente-ph-al-fte.-c-patio-apto-50539036.html	68	3	1322
USD	84900		Villa Crespo, Capital Federal	https://www.zonaprop.com.ar/propiedades/ph-al-frente-4-ambientes-2-banos-48414529.html	80	4	1061
USD	84500		Villa Crespo, Capital Federal	https://www.zonaprop.com.ar/propiedades/venta-dpto-3-amb.-reciclado-x-escalera-sin-50094888.html	55	3	1536
USD	82900		Villa Crespo, Capital Federal	https://www.zonaprop.com.ar/propiedades/venta-ph-villa-crespo-3-ambientes-sin-expensas-y-48906109.html	69	3	1201
USD	82000		Villa Crespo, Capital Federal	https://www.zonaprop.com.ar/propiedades/ph-villa-crespo-3-amb.-planta-baja-sin-expensas!-se-50329501.html	64	3	1281
USD	79999		Chacarita, Capital Federal	https://www.zonaprop.com.ar/propiedades/ph-2-amb-altillo-sin-expensas-a-reciclar-50733395.html	54	3	1481
USD	79500		Villa Crespo, Capital Federal	https://www.zonaprop.com.ar/propiedades/venta!-3-amb-al-frente-todo-externo-y-luminoso!-50227469.html	52	3	1528
USD	77000		Villa Crespo, Capital Federal	https://www.zonaprop.com.ar/propiedades/venta-de-ph-3-amb.-al-frente-en-villa-crespo-50913702.html	51	3	1509
USD	73000		Villa Crespo, Capital Federal	https://www.zonaprop.com.ar/propiedades/venta-departamento-4-ambientes-con-terraza-50851045.html	86	3	848
USD	70000		Villa Ortuzar, Capital Federal	https://www.zonaprop.com.ar/propiedades/ph-villa-ortuzar-50736944.html	61	3	1147
Consultar	0		Villa Crespo, Capital Federal	https://www.zonaprop.com.ar/propiedades/ph-villa-crespo-51217363.html	270	6	0
