currency	price	address	location	title	web	area	ambs	price_area_ratio
USD	95000	Aguirre 1100	Villa Crespo, Capital Federal	Ph Patio Baulera En Depto Impecable - Aguirre Al 1100 - Villa Crespo	https://www.argenprop.com.ar/ph-en-venta-en-villa-crespo-3-ambientes--12553385	65	3	1461
USD	95000	ROSETI al 400	Chacarita, Capital Federal	PH  ROSETI Y JORGE NEWBERY	https://www.argenprop.com.ar/ph-en-venta-en-chacarita-3-ambientes--9707288	60	3	1583
USD	95000	Roseti 400, Piso PB	Chacarita, Capital Federal	Muy buen PH en excelente ubicación, cerca de accesos	https://www.argenprop.com.ar/ph-en-venta-en-chacarita-3-ambientes--8271166	3	0	31666
USD	93000	Cucha Cucha 2600	Villa Crespo, Capital Federal	PERMUTA OFERTA PH 4amb ENTRADA PRIVADA SIN EXPENSAS	https://www.argenprop.com.ar/ph-en-venta-en-villa-crespo-4-ambientes--12103135	100	4	930
USD	89900	ESCALADA DE SAN MARTIN, R. 300, Piso PB	Villa Crespo, Capital Federal	OPORTUNIDAD EXCELENTE PH AL FTE. C/ PATIO, APTO PROFESIONAL!	https://www.argenprop.com.ar/ph-en-venta-en-villa-crespo-3-ambientes--12052697	56	3	1605
USD	87000	SERRANO AL 300	Villa Crespo, Capital Federal	T / PH 3 ½ AMB. + PATIO PROPIO + HERMOSA TERRAZA COMÚN	https://www.argenprop.com.ar/ph-en-venta-en-villa-crespo-3-ambientes--11625810	3	0	29000
USD	87000	THAMES 100	Villa Crespo, Capital Federal	PH  5 AMB ENTRADA INDEPENDIENTE PARA RECICLAR	https://www.argenprop.com.ar/ph-en-venta-en-villa-crespo-5-ambientes--12066147	90	5	966
USD	85000	SERRANO AL 300	Villa Crespo, Capital Federal	T / PH 3 ½ AMB. + PATIO PROPIO + HERMOSA TERRAZA COMÚN	https://www.argenprop.com.ar/ph-en-venta-en-villa-crespo-3-ambientes--11625817	3	0	28333
USD	84900	Vera 1300	Villa Crespo, Capital Federal	Ph al frente 4 ambientes 2 baños	https://www.argenprop.com.ar/ph-en-venta-en-villa-crespo-4-ambientes--8127819	80	4	1061
USD	82900	Av San	Villa Crespo, Capital Federal	VENTA PH VILLA CRESPO 3 AMBIENTES SIN EXPENSAS Y BAULERA!!!	https://www.argenprop.com.ar/ph-en-venta-en-villa-crespo-3-ambientes--12509880	62	3	1337
USD	82000	Humboldt y Martinez Rosas -  PH 4 amb con terraza propia y posibilidad de construir	Villa Crespo, Capital Federal	Humboldt y Martinez Rosas -  PH 4 amb con terraza propia y posibilidad de construir	https://www.argenprop.com.ar/ph-en-venta-en-villa-crespo-4-ambientes--12002534	58	4	1413
USD	82000	Humboldt y Martinez Rosas -  PH  3 amb + escriot con terraza propia	Villa Crespo, Capital Federal	Humboldt y Martinez Rosas -  PH 3 amb   escrit con terraza propia	https://www.argenprop.com.ar/ph-en-venta-en-villa-crespo-3-ambientes--12154652	58	3	1413
USD	79500	DARWIN 300, Piso 1	Villa Crespo, Capital Federal	VENTA!! 3 AMB AL FRENTE, TODO EXTERNO Y LUMINOSO!!	https://www.argenprop.com.ar/ph-en-venta-en-villa-crespo-3-ambientes--11874493	52	3	1528
USD	79000	Av Alvarez Thomas 900, Piso PB	Colegiales, Capital Federal	OPORTUNIDAD ! PH 3 AMBIENTES SIN EXPENSAS !	https://www.argenprop.com.ar/ph-en-venta-en-colegiales-3-ambientes--5051523	56	3	1410
USD	79000	Rojas 1300	Villa Crespo, Capital Federal	Venta de PH en Villa Crespo	https://www.argenprop.com.ar/ph-en-venta-en-villa-crespo-3-ambientes--11614253	54	3	1462
USD	79000	14 DE JULIO 1200	Villa Ortuzar, Capital Federal	Ph - Venta - Argentina, Capital Federal - 14 DE JULIO 1286	https://www.argenprop.com.ar/ph-en-venta-en-villa-ortuzar-3-ambientes--11738801	45	3	1755
USD	79000	Aguirre 100, Piso 3	Villa Crespo, Capital Federal	Venta 3 ambientes Villa Crespo a metros de subte B, bajas expensas impecable estado	https://www.argenprop.com.ar/ph-en-venta-en-villa-crespo-3-ambientes--10918377	47	3	1680
USD	75000	14 De Julio 1200	Villa Ortuzar, Capital Federal	14 De Julio 1200 V Ortúzar PH 3amb U$75.000	https://www.argenprop.com.ar/ph-en-venta-en-villa-ortuzar-3-ambientes--11522221	45	3	1666
	0	Cnel M Roseti 400	Colegiales, Capital Federal	Impecable PH 5 Amb c/cochera, Parrilla terraza propia!	https://www.argenprop.com.ar/ph-en-venta-en-colegiales-4-ambientes--4960290	190	4	0
